input,label
does n't make much,0
"Michael Moore 's Bowling for Columbine rekindles the muckraking , soul-searching spirit of the ` Are we a sick society ? '",1
"this painfully forced , false and fabricated",0
this somewhat tired premise,0
their lack,0
"a flat , plodding picture",0
romp that will have viewers guessing just who 's being conned right up to the finale,1
rejection by one 's mother,0
feel-bad,0
"a hint of joy ,",1
succumbs to joyless special-effects excess,0
wants to be a suspenseful horror movie or a weepy melodrama,0
yet depressing film,0
struggling,0
is heartening in the same way that each season marks a new start,1
"Like most of Jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand",0
starts to become good,1
good-natured ensemble comedy,1
an attempt to do something different over actually pulling it off,0
odds with the rest of the film,0
"there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",1
too self-satisfied,0
impressive fake documentary,1
"can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken",1
the smartest kids in class,1
Drumline ably captures the complicated relationships in a marching band .,1
The film 's desire to be liked sometimes,0
"Even as I valiantly struggled to remain interested , or at least conscious , I could feel my eyelids ... getting ... very ... heavy ...",0
a self-indulgent script,0
run the gamut from cheesy to cheesier to cheesiest,0
the most ordinary and obvious fashion,0
ultimate blame,0
"It 's fun , but it 's a real howler .",1
banged their brains into the ground so frequently,0
point and purpose,1
beautiful canvas,1
a Copenhagen neighborhood coping with the befuddling complications life,1
"their lofty perch , that finally makes Sex With Strangers , which opens today in the New York metropolitan area , so distasteful",0
unwavering and arresting,1
s impossible to claim that it is `` Based on a True Story '' with a straight face .,0
Mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline .,0
"a good ear for dialogue , and the characters sound like real people",1
", doing its namesake proud",1
Director Charles Stone III applies more detail to the film 's music than to the story line,0
miss it,0
"derived from a lobotomy ,",0
only half-an-hour long or,0
more appealing holiday-season product,1
rough,0
"the filmmaker 's extraordinary access to Massoud ,",1
were n't such a clever adaptation of the bard 's tragic play,0
a feel-bad ending,0
they can swim,1
"The biggest problem I have -LRB- other than the very sluggish pace -RRB- is we never really see her Esther blossom as an actress , even though her talent is supposed to be growing .",0
The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,1
"I was feeling this movie until it veered off too far into the Exxon zone , and left me behind at the station looking for a return ticket to realism .",0
Ca n't seem to get anywhere near the story 's center,0
"Lacking substance and soul , Crossroads comes up shorter than Britney 's cutoffs .",0
striking villains,1
"This odd , distant Portuguese import more or less",0
of gentle longing,1
Bill Morrison 's Decasia,1
a delight,1
confusing melange,0
believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film,1
has value can not be denied .,1
would have a hard time sitting through this one,0
camouflaging grotesque narcissism,0
A dim-witted and lazy spin-off,0
"The histrionic muse still eludes Madonna and , playing a charmless witch",0
slice of comedic bliss,1
is even remotely new or interesting,0
The film 's lack,0
I wanted more .,0
"human experience -- drama , conflict , tears and surprise --",1
"The emotion is impressively true for being so hot-blooded ,",1
intellectually stultifying,0
"The animation is competent , and",1
"though Bette Davis , cast as Joan , would have killed him",0
bore most audiences,0
"the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid",0
dollars,1
as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics -RRB-,0
a spontaneity,1
could hardly,0
cause parents a few sleepless hours --,0
by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
a visual style that incorporates rotoscope animation for no apparent reason except,0
truly magical movie,1
is less about a superficial midlife crisis,0
plummets into a comedy graveyard,0
toolbags botching a routine assignment in a Western backwater,0
the finest films,1
is existential drama without any of the pretension associated with the term .,1
below expectations,1
"Both an admirable reconstruction of terrible events , and a fitting",1
"bears more than a whiff of exploitation ,",0
is as generic as its title .,0
feels like a hazy high that takes too long to shake,0
What little grace -LRB- Rifkin 's -RRB- tale of precarious skid-row dignity achieves is pushed into the margins by predictable plotting and tiresome histrionics .,0
the makers of this ` we 're - doing-it-for - the-cash ' sequel were,0
are many tense scenes in Trapped,1
funny level,1
fires on all plasma conduits,1
"Pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance",1
with efficiency and an affection for the period,1
no getting around the fact that this is Revenge Of The Nerds Revisited -- again,0
consumerist ... studiously inoffensive and completely disposable,0
better than,1
Screenwriter Dan Schneider and director Shawn Levy substitute volume and primary colors for humor and bite .,1
"A penetrating , potent exploration of sanctimony , self-awareness , self-hatred and self-determination",1
"A college story that works even without vulgarity , sex scenes , and cussing",1
has no affect on the Kurds,1
appeal to those without much interest in the Elizabethans -LRB- as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics -RRB-,0
He allows his cast members to make creative contributions to the story and dialogue .,1
more than satisfactory,1
"Proves a servicable World War II drama that ca n't totally hide its contrivances , but it at least calls attention to a problem Hollywood too long has ignored .",1
"interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run",0
lends itself to easy jokes and insults,0
the results are honest,1
would n't have the guts to make .,0
listen to Marvin Gaye or the Supremes the same way again,1
horrible pains,0
"amounts to is a mildly funny , sometimes tedious , ultimately insignificant film",0
A fascinating case study of flower-power liberation -- and the price that was paid for it .,1
filled with raw emotions,1
ugh,0
s as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet,0
enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens,1
"McWilliams 's melancholy music , are charged with metaphor ,",1
"s insecure in Lovely and Amazing , a poignant and wryly amusing film about mothers , daughters and their relationships",1
", confused , and totally disorientated",0
s just merely very bad .,0
enervating,0
of the outstanding thrillers of recent years,1
a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge .,1
feel like you were n't invited to the party,0
that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half,1
to produce something that is ultimately suspiciously familiar,0
re wearing the somewhat cumbersome 3D goggles,0
of those rare pictures,1
on and on to the point of nausea,0
A rather brilliant little cult item :,1
unique directing style,1
"great charm , generosity and diplomacy",1
"A boring , pretentious muddle that uses a sensational , real-life 19th-Century crime as a metaphor for -- well , I 'm not exactly sure what -- and has all the dramatic weight of a raindrop .",0
statements and dime-store ruminations,0
", the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",0
will leave you wanting to abandon the theater,0
do all three quite well,1
"them , who have carved their own comfortable niche in the world",1
"focuses too much on Max when he should be filling the screen with this tortured , dull artist and monster-in-the",0
powerful and deeply moving,1
a film to be taken literally on any level,1
"issue a moratorium , effective immediately , on treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate .",1
making no sense,0
dopey dialogue and sometimes inadequate performances kill the effect,0
a torrent of emotion,1
The plot has a number of holes,0
"a boring , pretentious waste of nearly two hours",0
energy and geniality,1
", it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",0
elegant and sly,1
hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as The Grey Zone,0
"re-working to show more of the dilemma , rather than have his characters stage shouting",0
sermonize,0
original,1
gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1
"For all its brooding quality , Ash Wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",1
the director is a magician,1
enveloping sounds,1
grabs you in the dark and shakes you vigorously for its duration .,1
this one feels like a life sentence,0
fondly,1
"that it 's left a few crucial things out , like character development and coherence",0
"is a movie that starts out like Heathers , then becomes Bring it On , then becomes unwatchable",0
slapdash disaster .,0
sex in the movies look like cheap hysterics,0
is n't mainly suspense or excitement .,0
threw medical equipment at a window,0
"Before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway .",0
seven days left to live,0
wise enough,1
its predecessors proud,1
grows up,1
take heart,1
honesty and,1
a ray of hope,1
"has the glorious , gaudy benefit of much stock footage of Those Days , featuring all manner of drag queen , bearded lady and lactating hippie",1
of the best ensemble casts of the year,1
a step down,0
so stocked with talent,1
"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag .",0
big-time,1
Now as a former Gong Show addict,1
are lean and tough enough to fit in any modern action movie,1
nervous,0
"shows off a lot of stamina and vitality ,",1
A pure participatory event,1
this movie is careless and unfocused .,0
"flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters",1
threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans,0
the living hell,0
"The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .",1
is a brilliant movie .,1
A zippy 96 minutes,1
is interesting,1
cult film,1
Davis,1
more depressing than entertaining,0
achingly unfunny Phonce,0
"Love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large",0
"a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear",1
difficult to shrug off the annoyance of that chatty fish,0
kinda dumb,0
thriller with enough unexpected twists to keep our interest,1
"simply stupid , irrelevant and",0
A modestly surprising movie .,1
starts off with a 1950 's Doris Day feel,1
the rare common-man artist,1
realistic portrayal,1
This Tuxedo ... should have been sent back to the tailor for some major alterations .,0
"goes nowhere and goes there very , very slowly",0
bear the laughter,1
are infectious,1
"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",1
I highly recommend Irwin,1
"is hilariously , gloriously alive , and quite often hotter than Georgia asphalt",1
familiar and insufficiently cathartic,0
miss it altogether,0
should be poignant,0
"Ponderous , plodding soap opera disguised as a feature film .",0
The modern master of the chase sequence returns with a chase to end all chases,1
unfunny and unoriginal mess,0
It 's not so much a movie as a joint promotion for the National Basketball Association and teenaged rap and adolescent poster-boy Lil ' Bow Wow .,0
"docile , mostly wordless ethnographic extras",0
", often hilarious romantic jealousy comedy",1
"no charm , no laughs , no fun ,",0
"street gangs and turf wars in 1958 Brooklyn -- stale cliches ,",0
"You may leave the theater with more questions than answers , but darned if your toes wo n't still be tapping .",1
cardboard characters and performers,0
Chan 's stunts are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy .,0
"Whenever you think you 've figured out Late Marriage , it throws you for a loop .",1
a movie where the most notable observation is how long you 've been sitting still,0
realize your mind is being blown,1
be ploughing the same furrow once too often,0
bottom-feeder,0
"keep you watching ,",1
"a severe case of oversimplification , superficiality and silliness",0
"getting in its own way to be anything but frustrating , boring , and forgettable",0
embedded in the sexy demise of James Dean,1
is unusual but unfortunately also irritating .,0
rolling your eyes in the dark,0
is entertaining on an inferior level,0
Comes off as a long,0
the vital comic ingredient,1
"Too much of Storytelling moves away from Solondz 's social critique , casting its audience as that of intellectual lector in contemplation of the auteur 's professional injuries .",0
anti-feminist,0
so larger than life and,1
"I enjoyed the movie in a superficial way , while never sure what its purpose was .",1
I have always appreciated a smartly written motion picture,1
caricature,0
could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .,0
into a 90-minute movie that feels five hours long,0
He 's not good with people .,0
better off staying on the festival circuit,0
about in thick clouds of denial,0
as both shallow and dim-witted,0
a fascinating study,1
"an otherwise appalling , and downright creepy , subject --",0
cranky adults,0
Murphy and Wilson actually make a pretty good team ... but the project surrounding them is distressingly rote .,0
however well intentioned,0
-LRB- Tries -RRB- to parody a genre that 's already a joke in the United States .,0
It reaffirms life as it looks in the face of death .,1
alienate,0
nice,1
doldrums,0
"The movie 's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story .",0
", remains a complete blank",1
spreading,1
is a little like a chocolate milk moustache ...,1
with laughs,1
isolation,0
Trapped,0
invulnerable as its trademark villain,1
it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters,0
the perfect material,1
for cultural and personal self-discovery and a picaresque view,1
that a movie as artificial and soulless as The Country Bears owes its genesis to an animatronic display at Disneyland,0
"feels like a teenybopper Ed Wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama",0
stands for Milder Is n't Better,0
"buried somewhere inside its fabric , but never clearly seen or",0
resuscitate,1
disguising this,0
sometimes hilarious -RRB-,1
is way too muddled to be an effectively chilling guilty pleasure .,0
good and ambitious film,1
pseudo-philosophic twaddle,0
so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film,0
The culmination of everyone 's efforts,1
"Satin Rouge is not a new , or inventive , journey , but it 's encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity .",1
"Sinks into the usual cafeteria goulash of fart jokes , masturbation jokes , and racist Japanese jokes",0
visually compelling one,1
"A real winner -- smart , funny , subtle , and resonant .",1
mild disturbance or detached pleasure,0
this is the kind of movie that deserves a chance to shine .,1
mall movie,0
noir veil,0
a fairly disposable yet still entertaining B picture .,1
dramatic punch and depth,1
smoother or more confident,1
many definitions of ` time waster ',0
"Well , this movie proves you wrong on both counts .",0
"Helmer Hudlin tries to make a hip comedy ,",0
"Go , girls , right down the reality drain .",0
to lift -LRB- this -RRB- thrill-kill cat-and-mouser ... above its paint-by-numbers plot,0
"E.T. is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .",1
from a director who understands how to create and sustain a mood,1
with table manners,1
a cute partnership,1
lack the nerve ... to fully exploit the script 's potential for sick humor .,0
goes to absurd lengths,0
I felt disrespected .,0
"had more fun with Ben Stiller 's Zoolander , which I thought was rather clever .",1
marvelous series,1
The metaphors are provocative,1
' has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel,1
Murder hits and generally sustains a higher plateau with Bullock 's memorable first interrogation of Gosling .,1
their perceptiveness about their own situations,1
their incessant whining,0
flickering out by its perfunctory conclusion,0
is familiar but enjoyable,1
then go see this delightful comedy .,1
"Expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women .",1
is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values,0
the everyday lives,1
"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",1
hard to shake the feeling that it was intended to be a different kind of film,0
all the scenic appeal of a cesspool,0
"-LRB- Allen 's -RRB- been making piffle for a long while , and",0
"To the civilized mind , a movie like Ballistic : Ecks Vs. Sever is more of an ordeal than an amusement .",0
Does an impressive job of relating the complicated history of the war and,1
"It 's just weirdness for the sake of weirdness , and where Human Nature should be ingratiating , it 's just grating .",0
"that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday",1
"Ultimately too repellent to fully endear itself to American art house audiences , but it is notable for its stylistic austerity and forcefulness .",0
no pastry is violated,1
older,0
members of the cultural elite,0
the director 's talent,1
David and,1
"The Sweetest Thing ,",1
be said that he is an imaginative filmmaker who can see the forest for the trees,1
a mishmash,0
interest can not be revived .,0
Nice piece of work .,1
"Offers big , fat , dumb",0
this did n't connect with me would require another viewing,0
almost unbearably,0
disgusted,0
"Over the years , Hollywood has crafted a solid formula for successful animated movies , and Ice Age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor .",1
"the kind of lush , all-enveloping movie experience",1
do you make a movie with depth about a man who lacked any ?,0
", why bother with a contemptible imitator starring a `` SNL '' has-been acting like an 8-year-old channeling Roberto Benigni ?",0
", unsubtle and Hollywood-predictable",0
s so muddled and derivative that few will bother thinking it all through,0
a huge disappointment coming,0
"What remains is a variant of the nincompoop Benigni persona , here a more annoying , though less angry version of the irresponsible Sandlerian manchild , undercut by the voice of the star of Road Trip .",0
something provocative,1
as big-screen remakes of The Avengers and The Wild Wild West,0
"the idea of why human beings long for what they do n't have , and how this gets us in trouble",0
a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals,0
praises female self-sacrifice,1
"complex , laden with plenty of baggage and tinged with tragic undertones",1
experimentation and improvisation,1
incredibly layered and stylistic film,1
The artwork is spectacular and,1
bring fresh good looks and an ease in front of the camera to the work .,1
competent performers,1
is supposed to be madcap farce .,0
insufferable ball,0
foolish and shallow,0
"fresh , unforced naturalism to their characters",1
"that bad movies make and is determined not to make them , and",0
a twisted sense of humor,1
Michele 's spiritual quest is neither amusing nor dramatic enough to sustain interest,0
singing long after the credits roll,1
"There 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but",1
searing performances,1
"Lisa Rinzler 's cinematography may be lovely ,",1
to the energetic and always surprising performance,1
cultural elite,1
constructed to convey a sense of childhood imagination,1
quirky and satirical touches,1
that remains vividly in memory long,1
His Secret Life enters the land of unintentional melodrama and tiresome love triangles,0
The kid 's -RRB- just too bratty for sympathy,0
been one of the more daring and surprising American movies of the year,1
"no solace here , no entertainment value",0
"Give Shapiro , Goldman , and Bolado credit for good intentions",1
tumbleweeds blowing through the empty theatres,0
Manipulative claptrap,0
ought to be a whole lot scarier than they are in this tepid genre offering,0
supposed to be a romantic comedy,0
but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history,1
A live-wire film that,1
"In The New Guy , even the bull gets recycled .",0
turned down,0
The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,1
are more interesting ways of dealing with the subject,0
s much to recommend the film .,1
This wretchedly unfunny wannabe comedy,0
third-rate horror sequels,0
with actors you 're most likely to find on the next inevitable incarnation of The Love Boat,0
best film,1
that is where Ararat went astray .,0
before booking passage,1
simply ca n't recommend it enough .,1
skip the film and pick up the soundtrack,0
does Dickens as it should be done cinematically,1
you 're a Jet all the way,1
deathly slow to any teen,0
serial murders,1
... a quietly introspective portrait of the self-esteem of employment and the shame of losing a job ...,1
A serious movie with serious ideas,1
"Simple , poignant and leavened with humor",1
"is clear : Not easily and , in the end , not well enough",0
that does not move,0
The film 's final hour,1
to pack raw dough in my ears,0
"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",0
"based rage and sisterly obsession a razor-sided tuning fork that rings with cultural , sexual and social discord",1
MTV schmucks who do n't know how to tell a story for more than four minutes,0
"highly spirited , imaginative kid 's movie",1
bland to be interesting,0
uncomfortable movie,0
ca n't help but be drawn in by the sympathetic characters,1
Where the film falters is in its tone .,0
from which no interesting concept can escape,0
The script has less spice than a rat burger and The Rock 's fighting skills are more in line with Steven Seagal .,0
fine performance,1
for its elegantly colorful look and sound,1
Adrien Brody -- in the title role -- helps make the film 's conclusion powerful and satisfying,1
organized,1
short on plot but rich in the tiny revelations of real life,1
foul up Shum 's good intentions .,0
"It is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",1
"lacks any real raw emotion , which is fatal for a film that relies on personal relationships",0
of the best of a growing strain of daring films,1
a bit of thematic meat on the bones of Queen of the Damned,1
"passion , and genius",1
the exception of about six gags,0
Slackers ' jokey approach to college education is disappointingly simplistic -- the film 's biggest problem -- and,0
is creepy,0
creative belly laughs,1
commands interest almost solely as an exercise in gorgeous visuals,1
very complex,1
"Austin Powers in Goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .",0
"So muddled , repetitive and ragged",0
s plenty to offend everyone ...,0
a war tribute is disgusting to begin with,0
admirable storyteller,1
"being forceful , sad without being shrill",1
"A clumsily manufactured exploitation flick , a style-free exercise in manipulation and mayhem",0
"s sanctimonious , self-righteous and so eager to earn our love that you want to slap it",0
been titled Generic Jennifer Lopez Romantic Comedy,0
now we 've got something pretty damn close,1
"if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , Nickelodeon-esque kiddie flick",0
able to create an engaging story that keeps you guessing at almost every turn,1
without cheesy fun factor .,1
be the year 's best and most unpredictable comedy,1
"as much as it is for Angelique , the -LRB- opening -RRB- dance guarantees Karmen 's enthronement among the cinema 's memorable women .",1
stylized sequences,1
to have a knack for wrapping the theater in a cold blanket of urban desperation,0
"to make the film relevant today , without fully understanding what it was that made the story relevant in the first place",0
Campbell Scott finds the ideal outlet for his flick-knife diction in the role of Roger Swanson .,1
The real triumphs,1
One of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then,1
a real film,1
great missed opportunity,0
"is a shaky , uncertain film that nevertheless touches a few raw nerves .",0
Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .,1
"Broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car",0
laugh-out-loud funny,1
"without vulgarity , sex scenes , and cussing",1
a cinema classic,1
that it defeats his larger purpose,0
inherently funny,1
metaphysical,1
that should have been the ultimate IMAX trip,1
unifying rhythm,1
jolts the laughs,1
"a great , participatory spectator sport . '",1
seems altogether too slight to be called any kind of masterpiece .,0
thinking about going to see this movie,1
explains its characters ' decisions only unsatisfactorily,0
"as immediate as the latest news footage from Gaza and , because of its heightened , well-shaped dramas , twice as powerful",1
"A film really has to be exceptional to justify a three hour running time , and this is n't",0
its objective portrait,1
its clumsiness as its own most damning censure,0
turn out to be a bit of a cheat in the end,0
The hackneyed story,0
the director 's epitaph for himself,0
The result is somewhat satisfying,1
the disappointingly generic nature of the entire effort,0
self-conscious art drivel,0
very good -LRB- but not great -RRB-,1
down-to-earth,1
on a scorchingly plotted dramatic scenario for its own good,0
predicament,0
"with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie",0
with all its botches,0
that the movie has no idea of it is serious or not,0
steal,0
ill-conceived action pieces,0
inspire a few kids not to grow up to be greedy,1
The milieu is wholly unconvincing ... and the histrionics reach a truly annoying pitch .,0
The movie 's seams may show ... but,1
A compelling film .,1
that Hong Kong action cinema is still alive and kicking,1
the U.S.,1
spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet,0
an object lesson in period filmmaking,1
do justice to either effort in three hours of screen time,1
s undeniably hard to follow,0
Biggie and Tupac is undeniably subversive and involving in its bold presentation .,1
takes its techniques into such fresh territory,1
Sara Sugarman 's whimsical comedy Very Annie-Mary but not enough,1
Slap her - she 's not funny !,0
all-too-familiar,0
contrived plot points,0
"The slapstick is labored ,",0
"There 's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream .",0
wonderful but,1
this loose collection of largely improvised numbers would probably have worked better as a one-hour TV documentary .,0
yarn-spinner,0
is to substitute plot for personality .,0
slightly disappointed,0
Spy Kids 2 also happens to be that rarity among sequels : It actually improves upon the original hit movie,1
going through the paces again with his usual high melodramatic style of filmmaking,0
quite vapid,0
"smartly directed , grown-up film",1
a huge sacrifice of character and mood,0
smug and cartoonish,0
obvious and lengthy,0
tacks on three or four more endings,0
"Reggio and Glass so rhapsodize cynicism , with repetition and languorous slo-mo sequences , that Glass 's dirgelike score becomes a fang-baring lullaby .",0
"is a unique , well-crafted psychological study of grief",1
of almost perpetually wasted characters,0
Initial strangeness inexorably gives way to rote sentimentality and,0
is also elevated by it -- the kind of movie that you enjoy more because you 're one of the lucky few who sought it out .,1
a disaster of a story,0
depends a lot on how interesting and likable you find them,1
that this is one summer film that satisfies,1
hard to burn out of your brain,0
"is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .",0
"Despite an overwrought ending , the film works as well as it does because of the performances .",1
who is chasing who or,0
"does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject",0
"s not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff",0
s only in fairy tales,0
"It 's leaden and predictable , and",0
"Shiner can certainly go the distance , but is n't world championship material",1
ultimately tragic,0
at a snail 's pace,1
"come away thinking not only that Kate is n't very bright , but that she has n't been worth caring about and that maybe she , Janine and Molly -- an all-woman dysfunctional family -- deserve one another .",0
Everything that was right about Blade is wrong in its sequel .,0
refreshingly natural,1
decent-enough nail-biter,1
"is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots -LRB- or cinema seats -RRB-",0
"a bit exploitative but also nicely done ,",1
a bad day,0
"low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes",0
"a ho-hum affair , always",0
Characterisation has been sacrificed for the sake of spectacle .,0
help this movie one bit,0
-LRB- Allen 's -RRB- best works understand why snobbery is a better satiric target than middle-America diversions could ever be .,1
"numerous , world-renowned filmmakers",1
A riveting profile,1
hilarious Kenneth Branagh,1
slash-fest,0
enthronement,1
of a so-called ` comedy ' and not laugh,0
reaching happiness,1
"Seen in that light , Moonlight Mile should strike a nerve in many .",1
This picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,0
the raunch in favor of gags that rely on the strength of their own cleverness,1
a tragedy,0
of impossible disappearing\/reappearing acts,0
merely pretentious --,0
rarely stoops to cheap manipulation or corny conventions to do it,1
missed an opportunity to strongly present some profound social commentary,0
shouts classic French nuance,1
trying to drown yourself in a lake afterwards,0
Pretend like your SAT scores are below 120 and you might not notice the flaws .,0
", plodding picture",0
"created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores",1
A much more successful translation than its most famous previous film adaptation,1
"All of it works smoothly under the direction of Spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",1
is a movie where the most notable observation is how long you 've been sitting still,0
marks him as one of the most interesting writer\/directors working today,1
An awful movie that,0
usual whoopee-cushion effort,0
as dreadful,0
"The connected stories of Breitbart and Hanussen are actually fascinating ,",1
"schmaltzy , by-the-numbers romantic comedy",0
"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",0
"Anemic , pretentious .",0
caught in a heady whirl of New Age-inspired good intentions,1
France 's foremost cinematic poet,1
her good looks,1
of its assigned marks to take on any life of its own,0
a pressure cooker of horrified awe,0
modern moviemaking,1
has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,1
either moderately amusing,1
", Mr. Murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",0
relatively nothing,0
The story really has no place to go since Simone is not real -- she ca n't provide any conflict .,0
"Directed without the expected flair or imagination by Hong Kong master John Woo , Windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length .",0
its cheesy screenplay,0
the joie de vivre even as he creates,1
neither can I think of a very good reason to rush right out and see it,0
with one of France 's most inventive directors,1
a movie as artificial and soulless as The Country Bears,0
Oscar-worthy performance,1
does such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating .,0
a certain style and wit to the dialogue,1
no means a slam-dunk,0
 I know how to suffer ' and if you see this film you 'll know too .,0
and flat-out farce,0
thrusts the audience,1
by acute writing and a host of splendid performances,1
is not only the best date movie of the year,1
disturbance or detached pleasure,0
", his approach to storytelling might be called Iranian .",0
Family togetherness,1
never overcomes its questionable satirical ambivalence,0
"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",1
"Written , flatly",0
", giggly little story",1
silly and tedious,0
a better satiric target,0
"itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension",0
"tries to be ethereal , but ends up seeming goofy .",0
and not in a good way,0
"is about the need to stay in touch with your own skin , at 18 or 80",1
"thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign",0
stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters,1
"the ability to mesmerize , astonish and entertain",1
Meyjes ' provocative film might be called an example of the haphazardness of evil .,1
seeing something purer than the real thing,1
You live the mood rather than savour the story .,1
Friel pulls the strings that make Williams sink into melancholia,0
the utter cuteness,1
historically significant work,1
"her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style",1
has sex on screen been so aggressively anti-erotic,0
could not stand them,0
"exploitative for the art houses and too cynical ,",0
rather convoluted,0
misses a major opportunity to be truly revelatory about his psyche .,0
No amount of good intentions is able to overcome the triviality of the story .,0
"hell , I dunno",0
downright intoxicating,1
is equally hackneyed,0
